# z, m_eff, m_err
3.409999999999999837e-02 1.662154084129999987e+01 1.754189158371752821e-01
4.209999999999999853e-02 1.707946502749999595e+01 1.725582417094829457e-01
5.759999999999999842e-02 1.775925665709999990e+01 1.646095000450413515e-01
2.050000000000000086e-02 1.529628006949999630e+01 1.937494215546424758e-01
4.019999999999999962e-02 1.705353307849999922e+01 1.732544518091443664e-01
2.599999999999999881e-02 1.606029322759999545e+01 1.863641413023779392e-01
2.589999999999999941e-02 1.609496869009999998e+01 1.809932548653428175e-01
2.390000000000000110e-02 1.571397414360000155e+01 1.838564902867481921e-01
6.900000000000000577e-02 1.824504797799999878e+01 1.786998265837301536e-01
6.510000000000000508e-02 1.798569079759999667e+01 1.655494945149143526e-01
2.290000000000000022e-02 1.587586716769999740e+01 1.878698182193670463e-01
3.150000000000000022e-02 1.633013634299999595e+01 1.736052567255147172e-01
2.149999999999999828e-02 1.561173632819999924e+01 1.894314324102952529e-01
2.549999999999999836e-02 1.639917313589999637e+01 1.984480043182613729e-01
3.250000000000000111e-02 1.649209141509999554e+01 1.730155080363248443e-01
8.429999999999999993e-02 1.873083112080000134e+01 2.024883266430467232e-01
3.080000000000000099e-02 1.630798080819999640e+01 1.808756904788499653e-01
3.269999999999999990e-02 1.677316721329999538e+01 1.721268179795711339e-01
4.229999999999999732e-02 1.707182589599999645e+01 1.741851033386145331e-01
6.840000000000000246e-02 1.841019698450000064e+01 1.732094359625815649e-01
1.529999999999999936e-02 1.538618572889999925e+01 2.153428260379870729e-01
2.330000000000000127e-02 1.556112867450000081e+01 1.858618172181472350e-01
4.909999999999999781e-02 1.740913588209999929e+01 1.783839654585139822e-01
4.250000000000000305e-02 1.660710181389999818e+01 1.975867726447353701e-01
1.919999999999999832e-02 1.541567845140000159e+01 2.001044868743249439e-01
3.080000000000000099e-02 1.645813624439999856e+01 1.758873437546475127e-01
2.120000000000000009e-02 1.552613453129999854e+01 1.938649902677990478e-01
2.769999999999999893e-02 1.638400377259999985e+01 1.857375198264925031e-01
3.350000000000000200e-02 1.665283253929999674e+01 1.731095777103741074e-01
2.079999999999999905e-02 1.547445636569999650e+01 2.038490056938242756e-01
1.729999999999999941e-02 1.490906604459999940e+01 2.230214284320290175e-01
3.599999999999999728e-02 1.682529886099999672e+01 1.795247304516635889e-01
2.330000000000000127e-02 1.587735741949999735e+01 1.881457371625097630e-01
5.890000000000000097e-02 1.779064751310000148e+01 1.683764869570183176e-01
5.829999999999999766e-02 1.773728814939999765e+01 1.707458373912228711e-01
6.880000000000000004e-02 1.816563564659999841e+01 2.002853487867161941e-01
3.209999999999999659e-02 1.632707683349999783e+01 1.775778663149370495e-01
5.220000000000000334e-02 1.735331460939999815e+01 1.914824885274930555e-01
3.080000000000000099e-02 1.627250422229999671e+01 1.750824496451891810e-01
3.289999999999999869e-02 1.662076854279999694e+01 1.730139716668142313e-01
2.299999999999999961e-02 1.574964250479999706e+01 1.892414303720530155e-01
1.499999999999999944e-02 1.505877280470000201e+01 2.194091737750994697e-01
3.209999999999999659e-02 1.654936183419999551e+01 1.763120465442207518e-01
6.429999999999999605e-02 1.785450221789999503e+01 1.686969454635420806e-01
3.200000000000000067e-02 1.650569134190000042e+01 1.954211399564440566e-01
2.089999999999999844e-02 1.538189849950000010e+01 1.965301563062582524e-01
